brsr_id,gri_code,gri_disclosure,esrs_datapoint_id,esrs_sheet,esrs_topic_code,esrs_dr,esrs_name,esrs_data_type,brsr_match_type,brsr_mapping_semantics,brsr_evidence_source,gri_esrs_match_level,expansion_count,expansion_class,interop_support,evidence_tier
A24,201-2-A,201-2,SBM-3_02,ESRS 2,ESRS 2,SBM-3,Description of material risks and opportunities resulting from materiality assessment,narrative,can_be_covered_by,partial,table1,requirement,1,low,direct,high_recall
A24,3-1-A-I-II,3-1,BP-1_04,ESRS 2,ESRS 2,BP-1,Disclosure of extent to which sustainability statement covers upstream and downstream value chain,narrative,can_be_covered_by,partial,table1,disclosure,8,moderate,direct,high_recall
A24,3-1-A-I-II,3-1,IRO-1_01,ESRS 2,ESRS 2,IRO-1,"Description of methodologies and assumptions applied in process to identify impacts, risks and opportunities",narrative,can_be_covered_by,partial,table1,disclosure,8,moderate,direct,high_recall
A24,3-1-A-I-II,3-1,IRO-1_02,ESRS 2,ESRS 2,IRO-1,"Description of process to identify, assess, prioritise and monitor potential and actual impacts on people and environment, informed by due diligence process",narrative,can_be_covered_by,partial,table1,disclosure,8,moderate,direct,high_recall
A24,3-1-A-I-II,3-1,IRO-1_03,ESRS 2,ESRS 2,IRO-1,"Description of how process focuses on specific activities, business relationships, geographies or other factors that give rise to heightened risk of adverse impacts",narrative,can_be_covered_by,partial,table1,disclosure,8,moderate,direct,high_recall
A24,3-1-A-I-II,3-1,IRO-1_04,ESRS 2,ESRS 2,IRO-1,Description of how process considers impacts with which undertaking is involved through own operations or as result of business relationships,narrative,can_be_covered_by,partial,table1,disclosure,8,moderate,direct,high_recall
A24,3-1-A-I-II,3-1,IRO-1_05,ESRS 2,ESRS 2,IRO-1,Description of how process includes consultation with affected stakeholders to understand how they may be impacted and with external experts,narrative,can_be_covered_by,partial,table1,disclosure,8,moderate,direct,high_recall
A24,3-1-A-I-II,3-1,IRO-1_06,ESRS 2,ESRS 2,IRO-1,"Description of how process prioritises negative impacts based on their relative severity and likelihood and positive impacts based on their relative scale, scope and likelihood and determines which sustainability matters are material for reporting purposes",narrative,can_be_covered_by,partial,table1,disclosure,8,moderate,direct,high_recall
A24,3-1-A-I-II,3-1,IRO-1_14,ESRS 2,ESRS 2,IRO-1,"Description of input parameters used in process to identify, assess and manage material impacts, risks and opportunities",narrative/numerical,can_be_covered_by,partial,table1,disclosure,8,moderate,direct,high_recall
A24,3-1-B,3-1,IRO-1_05,ESRS 2,ESRS 2,IRO-1,Description of how process includes consultation with affected stakeholders to understand how they may be impacted and with external experts,narrative,can_be_covered_by,partial,table1,requirement,1,low,direct,high_recall
A24,3-2-A,3-2,BP-2_21,ESRS 2,ESRS 2,BP-2,"Topics (E4, S1, S2, S3, S4) have been assessed to be material",semi-narrative,can_be_covered_by,partial,table1,requirement,3,low,direct,high_recall
A24,3-2-A,3-2,BP-2_22,ESRS 2,ESRS 2,BP-2,List of sustainability matters assessed to be material (phase-in),semi-narrative,can_be_covered_by,partial,table1,requirement,3,low,direct,high_recall
A24,3-2-A,3-2,SBM-3_01,ESRS 2,ESRS 2,SBM-3,Description of material impacts resulting from materiality assessment,narrative,can_be_covered_by,partial,table1,requirement,3,low,direct,high_recall
A24,3-3-A,3-3,SBM-3_04,ESRS 2,ESRS 2,SBM-3,Disclosure of how material negative and positive impacts affect (or are likely to affect) people or environment,narrative,can_be_covered_by,partial,table1,requirement,1,low,direct,high_recall
P1-E6,2-25-E,2-25,S1-3_08,ESRS S1,S1,S1-3,Disclosure of whether and how it is assessed that its own workforce is aware of and trust structures or processes as way to raise their concerns or needs and have them addressed,narrative,can_be_covered_by,partial,table1,requirement,7,moderate,direct,high_recall
P1-E6,2-25-E,2-25,S2-3_05,ESRS S2,S2,S2-3,Disclosure of whether and how it is assessed that value chain workers are aware of and trust structures or processes as way to raise their concerns or needs and have them addressed,narrative,can_be_covered_by,partial,table1,requirement,7,moderate,direct,high_recall
P1-E6,2-25-E,2-25,S2-4_07,ESRS S2,S2,S2-4,Description of approach to ensuring that processes to provide or enable remedy in event of material negative impacts on  value chain workers  are available and effective in their implementation and outcomes,narrative,can_be_covered_by,partial,table1,requirement,7,moderate,direct,high_recall
P1-E6,2-25-E,2-25,S3-3_14,ESRS S3,S3,S3-3,Disclosure of whether and how it is assessed that affected communities are aware of and trust structures or processes as way to raise their concerns or needs and have them addressed,narrative,can_be_covered_by,partial,table1,requirement,7,moderate,direct,high_recall
P1-E6,2-25-E,2-25,S3-4_07,ESRS S3,S3,S3-4,Description of approach to ensuring that processes to provide or enable remedy in event of material negative impacts on affected communities are available and effective in their implementation and outcomes,narrative,can_be_covered_by,partial,table1,requirement,7,moderate,direct,high_recall
P1-E6,2-25-E,2-25,S4-3_05,ESRS S4,S4,S4-3,Disclosure of whether and how it is assessed that consumers and end-users are aware of and trust structures or processes as way to raise their concerns or needs and have them addressed,narrative,can_be_covered_by,partial,table1,requirement,7,moderate,direct,high_recall
P1-E6,2-25-E,2-25,S4-4_07,ESRS S4,S4,S4-4,Description of approach to ensuring that processes to provide or enable remedy in event of material negative impacts on  consumers and end-users are available and effective in their implementation and outcomes,narrative,can_be_covered_by,partial,table1,requirement,7,moderate,direct,high_recall
P3-E13,2-25-E,2-25,S1-3_08,ESRS S1,S1,S1-3,Disclosure of whether and how it is assessed that its own workforce is aware of and trust structures or processes as way to raise their concerns or needs and have them addressed,narrative,can_be_covered_by,partial,table1,requirement,7,moderate,direct,high_recall
P3-E13,2-25-E,2-25,S2-3_05,ESRS S2,S2,S2-3,Disclosure of whether and how it is assessed that value chain workers are aware of and trust structures or processes as way to raise their concerns or needs and have them addressed,narrative,can_be_covered_by,partial,table1,requirement,7,moderate,direct,high_recall
P3-E13,2-25-E,2-25,S2-4_07,ESRS S2,S2,S2-4,Description of approach to ensuring that processes to provide or enable remedy in event of material negative impacts on  value chain workers  are available and effective in their implementation and outcomes,narrative,can_be_covered_by,partial,table1,requirement,7,moderate,direct,high_recall
P3-E13,2-25-E,2-25,S3-3_14,ESRS S3,S3,S3-3,Disclosure of whether and how it is assessed that affected communities are aware of and trust structures or processes as way to raise their concerns or needs and have them addressed,narrative,can_be_covered_by,partial,table1,requirement,7,moderate,direct,high_recall
P3-E13,2-25-E,2-25,S3-4_07,ESRS S3,S3,S3-4,Description of approach to ensuring that processes to provide or enable remedy in event of material negative impacts on affected communities are available and effective in their implementation and outcomes,narrative,can_be_covered_by,partial,table1,requirement,7,moderate,direct,high_recall
P3-E13,2-25-E,2-25,S4-3_05,ESRS S4,S4,S4-3,Disclosure of whether and how it is assessed that consumers and end-users are aware of and trust structures or processes as way to raise their concerns or needs and have them addressed,narrative,can_be_covered_by,partial,table1,requirement,7,moderate,direct,high_recall
P3-E13,2-25-E,2-25,S4-4_07,ESRS S4,S4,S4-4,Description of approach to ensuring that processes to provide or enable remedy in event of material negative impacts on  consumers and end-users are available and effective in their implementation and outcomes,narrative,can_be_covered_by,partial,table1,requirement,7,moderate,direct,high_recall
P3-E14,3-3-E-I,3-3,MDR-T_16,ESRS 2 MDR,ESRS 2,MDR-T,"Effectiveness of policies and actions is tracked in relation to material sustainability-related impact, risk and opportunity",semi-narrative,can_be_covered_by,partial,table1,requirement,3,low,direct,high_recall
P3-E14,3-3-E-I,3-3,MDR-T_17,ESRS 2 MDR,ESRS 2,MDR-T,"Description of processes through which effectiveness of policies and actions is tracked in relation to material sustainability-related impact, risk and opportunity",narrative,can_be_covered_by,partial,table1,requirement,3,low,direct,high_recall
P3-E14,3-3-E-I,3-3,S1-4_04,ESRS S1,S1,S1-4,Description of how effectiveness of actions and initiatives in delivering outcomes for own workforce is tracked and assessed,narrative,can_be_covered_by,partial,table1,requirement,3,low,direct,high_recall
P3-E3,3-3-C,3-3,BP-2_25,ESRS 2,ESRS 2,BP-2,Description of policies related to sustainability matters assessed to be material (phase-in),narrative,can_be_covered_by,partial,table1,requirement,9,moderate,direct,high_recall
